cfg_family,cfg_t_steps,cfg_mu_daily,cfg_sigma_daily,cfg_nu,cfg_phi,cfg_garch_alpha,cfg_garch_beta,cfg_p_stay_low,cfg_p_stay_high,cfg_vol_ratio,cfg_label,true_sharpe,sharpe_hat,cov_lo_iid_90,width_lo_iid_90,cov_lo_iid_95,width_lo_iid_95,cov_lo_hac_90,width_lo_hac_90,cov_lo_hac_95,width_lo_hac_95,x_lo_hac_nw_lags,cov_iid_pct_90,width_iid_pct_90,cov_iid_pct_95,width_iid_pct_95,cov_iid_basic_90,width_iid_basic_90,cov_iid_basic_95,width_iid_basic_95,cov_iid_bca_90,width_iid_bca_90,cov_iid_bca_95,width_iid_bca_95,cov_trade_fixed_5_90,width_trade_fixed_5_90,cov_trade_fixed_5_95,width_trade_fixed_5_95,x_trade_fixed_5_n_trades,x_trade_fixed_5_n_dropped_days,cov_trade_fixed_21_90,width_trade_fixed_21_90,cov_trade_fixed_21_95,width_trade_fixed_21_95,x_trade_fixed_21_n_trades,x_trade_fixed_21_n_dropped_days,cov_trade_cusum_90,width_trade_cusum_90,cov_trade_cusum_95,width_trade_cusum_95,x_trade_cusum_n_trades,x_trade_cusum_mean_trade_len,cov_sb_l5_90,width_sb_l5_90,cov_sb_l5_95,width_sb_l5_95,cov_sb_l10_90,width_sb_l10_90,cov_sb_l10_95,width_sb_l10_95,cov_sb_l20_90,width_sb_l20_90,cov_sb_l20_95,width_sb_l20_95,cov_sb_l50_90,width_sb_l50_90,cov_sb_l50_95,width_sb_l50_95,cov_sb_auto_90,width_sb_auto_90,cov_sb_auto_95,width_sb_auto_95,x_sb_auto_block_len,cov_cb_auto_90,width_cb_auto_90,cov_cb_auto_95,width_cb_auto_95,x_cb_auto_block_len
iid_gaussian,250,0.00035538517611173235,0.00945761665690216,,,,,,,,iid_gaussian,0.5965101968545119,1.0864043745104666,1,3.306704927527444,1,3.9401819464426593,1,3.0644109759559344,1,3.6514708958234054,4,1,3.3421929033315227,1,3.9415092978979223,1,3.3421929033315227,1,3.9415092978979223,1,3.3672098418192453,1,3.9345410863892445,1,3.261436514135147,1,3.8722768967594408,50,0,1,2.8614694064530393,1,3.2886055106387584,11,19,1,3.5920213575698297,1,4.258529982263876,36,6.944444444444445,1,3.0466847850221273,1,3.608914204301408,1,3.0434003272029932,1,3.6755275374182275,1,2.733756387848842,1,3.206272027558486,1,2.2536748104134223,1,2.6491853651261836,1,3.3092578053843926,1,3.942885132658456,1.0,1,3.4052738434252863,1,3.982501860270287,1.0
iid_gaussian,250,2.2582803114133314e-05,0.013384586593949154,,,,,,,,iid_gaussian,0.026783859416506402,-0.4501138938802608,1,3.3035036561553808,1,3.9363673963263603,1,3.3511583201522424,1,3.9931514308439575,4,1,3.3150245523152773,1,3.9538943589920903,1,3.3150245523152773,1,3.9538943589920903,1,3.3258549573771186,1,3.9172690703093496,1,3.427591667757919,1,4.11337309324797,50,0,1,2.56049010100224,1,2.991979839918702,11,19,1,3.2082177005222343,1,3.8213396945091977,34,7.352941176470588,1,3.3362897659458604,1,4.0202173531451075,1,3.1786670169392273,1,3.781549664257667,1,2.937566618149104,1,3.4686690827381454,1,2.675157405699787,1,3.1599133813435127,1,3.307891704425451,1,3.982245431554483,1.0,1,3.31388658714822,1,4.014414101841876,1.0
iid_gaussian,250,3.8802721176280876e-05,0.006722914148597335,,,,,,,,iid_gaussian,0.09162308024989874,0.041684356266963866,1,3.302845563422327,1,3.935583230468598,1,3.4426394488339778,1,4.102157919046549,4,1,3.3419709510087214,1,3.9698942082192366,1,3.3419709510087214,1,3.9698942082192366,1,3.350411708374483,1,3.9649245536972835,1,3.5348242908194605,1,4.090967276933487,50,0,1,3.5963909560407767,1,4.223021661224665,11,19,1,3.5485093509285743,1,4.237420435454695,40,6.25,1,3.27021480816611,1,3.9227874512954166,1,3.2101519982064453,1,3.7463460571249376,1,2.8791736182302134,1,3.422094685546763,1,2.1713084832739344,1,2.590734789104437,1,3.3757490695207,1,4.005891072372328,1.0,1,3.3114255448745915,1,3.98618215369098,1.0
iid_gaussian,250,0.0014008032059693557,0.015712559962610617,,,,,,,,iid_gaussian,1.4152411551864508,0.684717105941537,1,3.3043757185093683,1,3.9374065227131,1,3.315399138687614,1,3.9505417380184618,4,1,3.3298429886624397,1,3.9591090245677583,1,3.32984298866244,1,3.9591090245677583,1,3.3823663440833975,1,3.9509635978361617,1,3.405930776482485,1,4.085019055997497,50,0,1,3.608538164557883,1,4.219646624538834,11,19,1,3.2190180169476736,1,3.8776199423005604,34,7.352941176470588,1,3.2721449498125366,1,3.937912796504968,1,3.59839338667699,1,4.170122909880446,1,3.718039710305035,1,4.464913399366227,1,3.769352044177671,1,4.482959350790509,1,3.3907335321107435,1,3.875470386460587,1.0,1,3.3374964871602173,1,4.136259030818991,1.0
iid_gaussian,250,0.0008262208757886804,0.012237168923605397,,,,,,,,iid_gaussian,1.0718042607698788,-0.43520303310706737,1,3.3034604103450986,1,3.9363158657650716,1,3.0323628532959535,1,3.6132832023068095,4,1,3.419381781505572,1,4.097213106506908,1,3.4193817815055723,1,4.097213106506908,1,3.3873934310941616,1,4.095686781468612,0,3.0532197680442343,1,3.6233429488701745,50,0,1,2.7860300559704014,1,3.2989457795816985,11,19,0,3.119833390209191,1,3.780838570610717,33,7.575757575757576,1,3.1776970136685128,1,3.7565714018377276,1,3.2051997863205317,1,3.8038072801355067,1,3.377601492895028,1,3.9873517344234264,1,3.307196247118644,1,3.8767404336054563,1,3.22979921919928,1,3.9034419381050975,1.0,1,3.353022050734792,1,3.9699986300375785,1.0
iid_gaussian,250,0.0003866580172449951,0.007991646118915592,,,,,,,,iid_gaussian,0.7680527447066647,3.2892754830216515,0,3.3381025472441115,0,3.9775945178937784,0,3.4475870268112176,0,4.1080533218272,4,0,3.2809954781230948,0,3.8937979580430158,0,3.2809954781230948,0,3.8937979580430158,0,3.2788937280210444,0,3.9031262493583023,0,3.2553018198054655,0,4.032343401174169,50,0,0,4.178081700205325,0,4.905995041763398,11,19,0,3.480590728707328,0,4.195927883155423,41,6.097560975609756,0,3.706971137355843,0,4.342588384614778,0,3.916088968895558,0,4.633808330672258,0,4.202613834186561,0,4.826478228609971,0,4.295865866424499,0,5.190624549917131,0,3.3306117382840674,0,3.835893640102566,1.0,0,3.2466353327851634,0,3.7839509688967174,1.0
iid_gaussian,250,5.07637916799198e-05,0.015799382489719745,,,,,,,,iid_gaussian,0.05100517130178294,-0.19156276896128818,1,3.302960107883027,1,3.9357197186119324,1,3.1553613556570745,1,3.7598449576083794,4,1,3.264705679781378,1,3.924668844500406,1,3.264705679781378,1,3.924668844500406,1,3.260514686749003,1,3.9230261480493107,1,3.155061015598748,1,3.8057484358423332,50,0,1,2.3809204008740537,1,2.791519948819145,11,19,1,3.2909054966322513,1,3.9331873322027047,38,6.578947368421052,1,2.852946515041806,1,3.2977961971377248,1,2.6183308727389543,1,3.1441229212460917,1,2.2549071881517326,1,2.6256721615761203,1,1.664284118224129,1,2.0358860845220828,1,3.272091732673962,1,3.9627246786863655,1.0,1,3.325643036662232,1,4.029153519583952,1.0
iid_gaussian,250,4.38038771565297e-05,0.015532280646408287,,,,,,,,iid_gaussian,0.04476902061774179,0.2300338346498881,1,3.3030132500186187,1,3.935783041372156,1,3.488058934374958,1,4.156278574160187,4,1,3.345941865453618,1,3.9802270531744703,1,3.345941865453618,1,3.9802270531744703,1,3.3274065807093614,1,3.975535716185367,1,3.5093952620361932,1,4.231688284267871,50,0,1,3.429402157190471,1,4.07703737204438,11,19,1,3.317990474958844,1,4.032964231135374,33,7.575757575757576,1,3.405510653295008,1,4.170918196347639,1,3.603933221584551,1,4.258375534946532,1,3.287333782558186,1,3.934038144074529,1,2.539526402773384,1,3.054479075582864,1,3.290012941923285,1,4.0764130891951496,1.0,1,3.380226931897462,1,3.984305578566691,1.0
iid_gaussian,250,0.0009653817539161046,0.010527243916854284,,,,,,,,iid_gaussian,1.4557428675204063,3.5442405003443636,0,3.343746360833448,0,3.984319536575871,0,3.1356006295354977,0,3.7362986001258403,4,0,3.3542803085179322,0,3.970949064786542,0,3.3542803085179322,0,3.9709490647865415,0,3.354332567434043,0,3.9669849658889014,0,3.037341642438185,0,3.5874313842970844,50,0,0,3.030809462957115,0,3.622732178695771,11,19,0,2.8900835825536406,0,3.4489418744592344,37,6.756756756756757,0,3.011097191180993,0,3.626944580805808,0,3.1017036168905063,0,3.707969094886516,0,2.9834890250796096,0,3.5649877434672277,0,2.625453224901027,0,3.0695245726188327,0,3.3705687857228415,0,3.9851600879561406,1.0,0,3.208090736174792,0,3.991271822884605,1.0
iid_gaussian,250,0.0006358931437966168,0.010986884548517142,,,,,,,,iid_gaussian,0.9187764437502633,2.2505054871046206,1,3.3193937634088906,1,3.9553016269576178,1,3.59114182008732,1,4.279109408532448,4,1,3.2676644568267035,1,4.021708857007299,1,3.2676644568267035,1,4.021708857007298,1,3.2725552102620554,1,4.004634969890842,1,3.7246604509449366,1,4.484394312172278,50,0,1,4.625536392831166,1,5.488136605236654,11,19,1,3.507164627878126,1,4.16728706670135,41,6.097560975609756,1,3.6311814311331094,1,4.395866730719514,1,3.541328603683019,1,4.231675821768108,1,3.325475991194841,1,3.9975344276436204,1,3.002741311035626,1,3.463704065501864,1,3.465647063453602,1,4.03811235232647,1.0,1,3.3016550986539537,1,4.011855839094057,1.0
