cfg_family,cfg_t_steps,cfg_mu_daily,cfg_sigma_daily,cfg_nu,cfg_phi,cfg_garch_alpha,cfg_garch_beta,cfg_p_stay_low,cfg_p_stay_high,cfg_vol_ratio,cfg_label,true_sharpe,mdd_hat,true_q5,true_q50,prob_iid_pct_q5,qhat_iid_pct_q5,relerr_iid_pct_q5,prob_iid_pct_q50,qhat_iid_pct_q50,relerr_iid_pct_q50,prob_trade_fixed_5_q5,qhat_trade_fixed_5_q5,relerr_trade_fixed_5_q5,prob_trade_fixed_5_q50,qhat_trade_fixed_5_q50,relerr_trade_fixed_5_q50,prob_sb_l20_q5,qhat_sb_l20_q5,relerr_sb_l20_q5,prob_sb_l20_q50,qhat_sb_l20_q50,relerr_sb_l20_q50,prob_sb_auto_q5,qhat_sb_auto_q5,relerr_sb_auto_q5,prob_sb_auto_q50,qhat_sb_auto_q50,relerr_sb_auto_q50,prob_cb_auto_q5,qhat_cb_auto_q5,relerr_cb_auto_q5,prob_cb_auto_q50,qhat_cb_auto_q50,relerr_cb_auto_q50
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.17886544925755105,-0.2206787290697474,-0.11691747757269988,0.00365,-0.3088085816191407,-0.39935816614903163,0.1641,-0.1721970341320001,-0.47280832350259283,0.00405,-0.3060377069773745,-0.3868020187874503,0.2055,-0.16190744713929953,-0.3848010622588454,0.0135,-0.2673783719038438,-0.21161823357853657,0.22635,-0.15718286632126774,-0.34439152797776224,0.0037,-0.3081237385098157,-0.39625481716649996,0.1739,-0.16958042607811502,-0.45042836707342626,0.0058,-0.291673031743661,-0.32170886144389227,0.18045,-0.16783980218649697,-0.4355407392546023
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.07355296108964963,-0.2206787290697474,-0.11691747757269988,0.088,-0.19827689058737802,0.10151335643812359,0.60895,-0.10584750242373911,0.09468195327834886,0.17355,-0.16967144553304947,0.23113819692416587,0.7343,-0.09334074307294501,0.2016527809975607,0.372,-0.13305420208062715,0.39706829633510243,0.8621,-0.07976828554910467,0.31773856907317943,0.0909,-0.19680232091709587,0.10819533107382169,0.59425,-0.10733760884344393,0.08193701171237758,0.09405,-0.19569117838902675,0.11323044493709729,0.5813,-0.10853908402850926,0.07166074498127017
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.09951023178268742,-0.2206787290697474,-0.11691747757269988,0.08295,-0.20034326630899105,0.0921496278616375,0.59735,-0.1070196249402185,0.08465674113031434,0.05905,-0.2151793670385362,0.024920217976572904,0.5215,-0.11466044108284032,0.019304526035948073,0.2842,-0.14610574222653022,0.33792557695783965,0.74345,-0.0923880182811602,0.20980147537212426,0.08645,-0.1989289683710222,0.09855848268842893,0.6021,-0.10650564211060667,0.08905285743629796,0.0971,-0.19418769968948282,0.12004342009733006,0.57875,-0.10875854602092724,0.06978367752331444
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.0686484337296804,-0.2206787290697474,-0.11691747757269988,0.19175,-0.16503835779857295,0.2521329151464744,0.74525,-0.09221493954818216,0.21128182490216277,0.15875,-0.173709603484484,0.21283938775276526,0.71035,-0.09573527009411406,0.18117229278586355,0.4118,-0.12775705508682406,0.4210721820568155,0.8555,-0.08043928347158974,0.3119994962124274,0.1831,-0.16727052935481276,0.24201788699831833,0.73215,-0.09353627054774681,0.19998042645432987,0.18555,-0.16662298160264935,0.2449522330265608,0.7331,-0.09345560773487824,0.2006703388142541
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.09385515888718521,-0.2206787290697474,-0.11691747757269988,0.02065,-0.25342850911645315,-0.14840478819485547,0.3534,-0.13558858788380757,-0.15969477531276619,0.0267,-0.24402760746174995,-0.10580484349546415,0.388,-0.13089812479970764,-0.11957705141487099,0.0741,-0.20585926085474002,0.06715404007208849,0.5237,-0.11439318897109854,0.021590344352337934,0.02055,-0.25370945073380546,-0.14967786792726376,0.3504,-0.1360327942700521,-0.16349409082543903,0.0213,-0.2523489809306078,-0.14351293391240608,0.35415,-0.13550609946358072,-0.15898924845793344
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.1812634120054429,-0.2206787290697474,-0.11691747757269988,0.00065,-0.3516748797296738,-0.5936056964444633,0.07385,-0.20592649240869249,-0.7612977690238515,0.00025,-0.383859094917676,-0.7394476419897908,0.04995,-0.22080762307929208,-0.8885766924110451,0.0004,-0.3577504650301699,-0.6211370553847072,0.05635,-0.21678806064603387,-0.854197209405531,0.0004,-0.35516583910736976,-0.6094248893155287,0.07695,-0.20451438116487067,-0.7492199234088214,0.00035,-0.3605396612044453,-0.6337762263008759,0.0839,-0.19997669783247304,-0.7104089310182605
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.12442333564894707,-0.2206787290697474,-0.11691747757269988,0.06055,-0.21421679212871939,0.029282101488746822,0.5303,-0.1135986741059537,0.02838586270972644,0.0455,-0.2249238162139057,-0.019236503500147533,0.46135,-0.12150719590556287,-0.0392560498921907,0.06675,-0.2099857004421424,0.04845518493187156,0.4549,-0.12238579313371242,-0.04677072816262493,0.0616,-0.21336938063430783,0.03312212493814655,0.5371,-0.11289736462292353,0.03438419159596238,0.05955,-0.21475005861713575,0.026865618075667966,0.554,-0.11115380191508156,0.04929695523096138
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.15874038919611205,-0.2206787290697474,-0.11691747757269988,0.0616,-0.21333860950848216,0.03326156350549458,0.51725,-0.11511932262922746,0.015379693274295279,0.02375,-0.2485659404437919,-0.1263701829877338,0.39655,-0.1296706629820261,-0.10907851994494336,0.028,-0.24251411375797055,-0.09894648560043999,0.3795,-0.13214156035736302,-0.13021220694054683,0.06645,-0.21011091348786765,0.04788778522709227,0.52465,-0.11429053967590605,0.02246830800091788,0.0451,-0.225342283127143,-0.0211327755831041,0.50845,-0.1160818009709661,0.007147576385353964
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.10336360656493712,-0.2206787290697474,-0.11691747757269988,0.02775,-0.24290749213461812,-0.10072906962340326,0.37885,-0.1322357678235519,-0.13101796727804899,0.026,-0.2449779798311365,-0.11011143150869393,0.3745,-0.13275544611329168,-0.1354627970890295,0.0265,-0.24425423742701333,-0.10683181136961639,0.3561,-0.13527828815325346,-0.1570407689400991,0.02475,-0.24695071100685181,-0.1190508122275842,0.3813,-0.13184622034309817,-0.1276861516372993,0.02445,-0.24744830858416886,-0.12130566288498386,0.3929,-0.13025221929345532,-0.11405259502339014
iid_gaussian,250,0.000629940788348712,0.01,,,,,,,,iid_gaussian,1.0,-0.2643644351791379,-0.2206787290697474,-0.11691747757269988,0.0004,-0.3559305627195567,-0.6128902147477105,0.0621,-0.212941720380055,-0.8212993027295405,0.00095,-0.34085616388806605,-0.544580963126426,0.08295,-0.20032448785688484,-0.7133835934180333,0.00015,-0.3893641482060397,-0.7643936497521601,0.0578,-0.21593793281227447,-0.8469260310376023,0.0004,-0.35681025969992775,-0.6168765390485588,0.0775,-0.20413224767174704,-0.7459515199069923,0.0004,-0.35714252551971026,-0.6183821930877277,0.0715,-0.20749249127736952,-0.7746918218309118
